epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1399.35,1.5043,0.90703,0.01036,0.90124,0.75499,0.87128,0.4478,1.7373,0.88072,0.0172,0.0012773,0.0012773,0.0012773
148,1404.96,1.48518,0.93957,0.00997,0.88033,0.79387,0.86242,0.45801,1.75828,0.80645,0.01738,0.00127235,0.00127235,0.00127235
149,1410.5,1.49106,0.91055,0.01001,0.82788,0.79137,0.85289,0.43891,1.8035,0.86084,0.01772,0.0012674,0.0012674,0.0012674
150,1416.07,1.49599,0.93143,0.01031,0.84524,0.78417,0.86761,0.4736,1.68038,0.78028,0.01649,0.00126245,0.00126245,0.00126245
151,1421.72,1.48998,0.86267,0.00965,0.88324,0.78777,0.88873,0.48764,1.66917,0.71652,0.01625,0.0012575,0.0012575,0.0012575
152,1427.4,1.45358,0.81735,0.00975,0.93422,0.76633,0.88185,0.46765,1.72758,0.87393,0.01709,0.00125255,0.00125255,0.00125255
153,1433.01,1.4978,0.9079,0.01054,0.88448,0.74364,0.85634,0.47491,1.66138,0.8857,0.01672,0.0012476,0.0012476,0.0012476
154,1438.6,1.46836,0.90419,0.00999,0.87362,0.79568,0.89428,0.48931,1.69427,0.81712,0.01713,0.00124265,0.00124265,0.00124265
155,1444.21,1.48836,0.86165,0.0101,0.89629,0.75899,0.88885,0.48758,1.63723,0.81189,0.01601,0.0012377,0.0012377,0.0012377
156,1449.87,1.49487,0.83954,0.00971,0.83309,0.84386,0.88283,0.47201,1.68401,0.73743,0.01655,0.00123275,0.00123275,0.00123275
157,1455.49,1.45649,0.83211,0.00973,0.82699,0.85252,0.89225,0.47384,1.70606,0.75013,0.01676,0.0012278,0.0012278,0.0012278
158,1461.21,1.46203,0.8402,0.00948,0.88427,0.7971,0.87881,0.48217,1.68346,0.79284,0.01674,0.00122285,0.00122285,0.00122285
159,1466.76,1.52575,0.86111,0.0106,0.91392,0.77698,0.87412,0.46159,1.73898,0.83574,0.01755,0.0012179,0.0012179,0.0012179
160,1472.45,1.47985,0.84608,0.01007,0.86741,0.79496,0.87236,0.48332,1.6735,0.80547,0.0165,0.00121295,0.00121295,0.00121295
161,1478.14,1.48052,0.85601,0.00948,0.88219,0.78417,0.88664,0.50022,1.64884,0.77031,0.01604,0.001208,0.001208,0.001208
162,1483.77,1.4473,0.84765,0.01004,0.90441,0.78277,0.89471,0.48252,1.70421,0.79806,0.01692,0.00120305,0.00120305,0.00120305
163,1489.39,1.46416,0.80893,0.0098,0.83491,0.76619,0.852,0.46584,1.69852,0.98478,0.01709,0.0011981,0.0011981,0.0011981
164,1494.97,1.44384,0.86012,0.00965,0.86246,0.78417,0.88336,0.4709,1.70878,0.90287,0.01711,0.00119315,0.00119315,0.00119315
165,1500.64,1.46851,0.85856,0.01008,0.86845,0.81295,0.86647,0.45148,1.75934,0.79674,0.01788,0.0011882,0.0011882,0.0011882
166,1506.19,1.44029,0.81058,0.01012,0.87756,0.825,0.89599,0.46352,1.74875,0.79377,0.01782,0.00118325,0.00118325,0.00118325
167,1511.77,1.44542,0.87186,0.00941,0.86494,0.80935,0.89469,0.48915,1.66755,0.74714,0.01647,0.0011783,0.0011783,0.0011783
168,1517.38,1.47224,0.81796,0.00959,0.9028,0.76978,0.8854,0.47441,1.69183,0.79928,0.01686,0.00117335,0.00117335,0.00117335
169,1522.95,1.41839,0.81274,0.00945,0.9087,0.78767,0.88106,0.45623,1.69926,0.84419,0.01685,0.0011684,0.0011684,0.0011684
170,1528.57,1.44737,0.85161,0.0096,0.92254,0.7554,0.8768,0.47389,1.70367,0.91315,0.01701,0.00116345,0.00116345,0.00116345
171,1534.13,1.44471,0.85244,0.00972,0.89087,0.78058,0.88153,0.47111,1.66899,0.79295,0.01657,0.0011585,0.0011585,0.0011585
172,1539.76,1.46559,0.84369,0.01021,0.82093,0.79155,0.86603,0.47185,1.69764,0.89524,0.01723,0.00115355,0.00115355,0.00115355
173,1545.37,1.47334,0.83288,0.00948,0.92143,0.75899,0.86778,0.4745,1.71901,0.90514,0.01717,0.0011486,0.0011486,0.0011486
174,1550.95,1.43655,0.79848,0.00961,0.85769,0.78045,0.85909,0.44798,1.72194,0.84541,0.01798,0.00114365,0.00114365,0.00114365
175,1556.55,1.45409,0.84109,0.0098,0.91066,0.81295,0.90704,0.48888,1.68869,0.7489,0.01656,0.0011387,0.0011387,0.0011387
176,1562.13,1.40153,0.79568,0.00948,0.92445,0.79226,0.89913,0.49463,1.66823,0.77615,0.01697,0.00113375,0.00113375,0.00113375
